quality,year,area,rooms,fireplaces,price
4,2003,1121,5,0,140.0
6,1945,1487,7,1,113.0
4,1941,924,5,0,80.0
5,1957,1526,7,1,144.5
5,1924,1296,5,1,104.0
6,1915,1647,6,0,128.0
3,1914,864,5,0,58.5
5,1924,1691,6,1,127.0
6,1939,856,4,1,126.0
4,1967,2650,10,0,160.0
5,1931,1666,7,1,100.0
6,1919,2447,10,1,169.0
7,1941,2133,8,2,257.5
5,1950,2177,11,0,215.0
7,1941,2340,9,2,266.5
7,1959,1902,7,2,335.0
7,1994,1652,6,0,203.135
8,1989,1034,4,1,185.0
8,1989,1191,5,1,162.5
7,1959,1801,6,2,289.0
4,1922,1154,7,0,125.5
2,1941,540,4,0,82.0
6,1921,1107,5,0,110.0
4,1920,1128,6,0,68.4
4,1900,1178,7,0,102.776
5,1952,1044,4,0,55.993
4,1896,952,5,0,50.138
8,2004,1646,5,1,246.0
8,1998,1916,8,1,254.9
6,1977,1285,6,1,190.0
7,2003,1560,7,0,201.0
6,1976,1034,6,0,169.9
6,1976,2048,9,0,170.0
5,1948,1687,7,2,160.0
7,2008,1346,6,1,220.0
7,2009,1214,6,0,179.781
5,2006,1444,7,0,174.0
8,2009,1968,8,1,269.5
7,2002,1894,8,1,214.9
8,2002,1908,9,0,202.9
9,2008,2018,10,1,378.5
5,1965,1264,7,1,169.0
5,2004,1430,7,0,173.5
6,1971,1824,8,0,139.0
5,1999,1344,7,1,166.5
4,1973,1092,6,0,83.5
5,1973,945,5,1,119.5
5,1976,1112,4,0,85.0
4,1970,1092,5,0,76.0
4,1972,630,3,0,75.5
4,1970,1092,5,0,88.25
4,1972,1092,5,0,85.5
5,1971,874,5,0,130.0
5,1962,1188,6,0,157.9
5,1984,833,5,0,149.9
5,1985,2432,10,0,159.0
5,1991,1274,6,0,136.0
5,1969,1479,8,0,161.0
8,1994,1803,6,2,285.0
6,1993,1797,7,1,231.0
6,1956,882,5,0,124.5
6,1974,1434,7,1,157.0
8,1972,2704,9,3,345.0
6,1997,1608,7,1,189.5
8,2003,2283,9,1,270.0
7,1996,1628,7,1,189.0
9,2006,1746,7,2,377.5
7,1995,1474,7,1,168.5
8,2004,2522,8,1,375.0
8,2000,1659,5,1,278.0
8,1998,1478,5,0,240.0
8,1995,1734,6,0,239.5
7,1998,1382,7,1,177.5
7,1998,1718,7,1,185.0
6,1998,1636,7,1,191.0
6,1993,1571,7,1,178.0
6,1993,1470,6,1,185.0
6,1994,1516,7,1,181.316
6,1993,1190,6,1,166.0
6,1992,1593,7,1,178.0
6,1994,1481,6,1,174.0
6,1992,1167,6,0,173.0
7,1999,1983,9,1,225.0
7,1990,1442,5,0,180.5
8,1984,1360,4,1,187.5
9,2008,2234,9,1,501.837
8,2008,2046,7,1,372.5
7,2005,1530,7,1,260.0
5,1977,1934,6,1,185.0
7,1980,2353,10,1,260.0
6,1979,1586,7,1,181.0
7,1977,1411,6,1,82.5
6,1977,1602,8,1,215.0
7,1978,2050,8,1,154.0
6,1978,1671,7,1,200.0
7,1980,2673,9,1,249.0
7,1980,1472,6,2,187.5
6,1978,1707,7,1,184.0
8,1981,2524,9,1,278.0
7,1978,1601,7,1,157.0
7,1976,1370,6,1,152.0
5,1976,1868,9,1,197.5
7,2003,1884,7,1,240.9
8,2009,1935,8,0,263.435
8,2000,1874,7,1,220.0
8,2002,1811,7,1,235.0
5,1975,1621,7,2,213.0
6,1974,1116,6,1,167.9
7,1975,1193,5,1,158.0
6,1974,1350,7,1,165.0
6,1972,2119,7,1,158.0
5,1974,1792,8,0,136.0
5,1970,1002,5,0,148.5
6,1969,1026,5,0,156.0
5,1970,1180,6,0,128.0
5,1971,1050,6,0,143.0
4,1970,864,5,0,76.5
4,1970,864,5,0,120.5
4,1970,864,5,0,124.5
4,1971,864,4,0,97.0
4,1971,864,5,0,130.0
6,1973,987,5,0,111.0
5,1970,1365,7,0,125.0
5,1971,1302,6,0,112.0
6,1972,987,5,0,97.0
6,1972,987,5,0,118.0
5,1972,1302,6,0,119.5
6,1976,958,5,0,143.75
6,1976,1548,7,1,146.0
6,1976,1456,7,1,148.5
7,1975,1055,4,1,123.0
6,1974,1322,6,1,147.0
6,1977,1456,6,1,137.9
6,1978,1548,7,1,147.0
6,1978,1441,7,1,148.5
6,1978,1456,6,1,138.0
7,1976,836,5,0,128.5
5,1967,892,5,0,100.0
5,1966,1120,5,1,148.8
10,2006,1718,7,1,337.5
9,2007,2772,10,3,462.0
9,2008,3140,11,2,485.0
10,2008,2402,10,2,555.0
9,2006,1652,6,2,325.0
8,2007,1600,7,1,256.3
8,2008,2042,8,1,253.293
9,2009,2690,8,1,398.8
9,2008,2184,10,1,335.0
9,2008,2020,7,1,404.0
10,2009,2020,9,1,402.861
10,2008,2296,10,1,451.95
10,2007,2674,8,2,610.0
9,2008,2822,12,1,582.933
9,2008,1736,7,1,360.0
8,2004,1782,7,2,296.0
8,2007,2520,10,1,409.9
8,2006,1717,7,1,255.5
9,2008,1743,8,1,335.0
8,2004,1713,7,1,274.9
9,2006,1531,6,1,300.0
9,2008,1808,7,1,324.0
9,2004,2224,10,1,350.0
8,2004,1836,7,1,280.0
8,2003,1629,7,1,284.0
7,2003,1760,8,1,269.5
7,2009,1502,7,0,233.17
10,2003,2392,8,1,386.25
9,2003,2452,10,1,445.0
8,2003,2400,10,1,290.0
8,2006,1606,6,1,255.9
6,2005,1358,6,1,213.0
6,2005,1306,5,1,196.0
6,2005,1306,5,1,184.5
7,2007,1358,6,1,212.5
7,2007,1314,6,1,230.0
10,2004,2492,8,1,552.0
8,2003,2200,8,1,382.5
9,2008,1884,6,1,320.0
9,2008,1456,6,1,248.5
8,2002,1712,8,1,286.5
8,2006,1324,6,1,254.0
7,2003,1405,6,1,173.0
7,2003,1626,6,0,173.0
7,2005,1456,8,1,184.0
6,2005,1490,7,1,167.8
6,2005,1484,8,1,174.0
6,2005,1560,6,1,174.0
7,2007,1555,7,1,174.0
7,2007,1569,7,1,175.9
7,2005,1555,7,1,192.5
7,2005,1504,7,1,181.0
7,2005,1220,5,1,180.0
7,2005,1145,5,1,160.2
7,2004,1432,6,1,188.5
6,2002,2267,8,1,200.0
7,2004,1374,6,1,170.0
7,2004,1630,7,1,189.5
8,2002,1419,7,1,184.1
7,2004,1594,7,1,195.5
7,2003,1489,8,1,192.0
7,2003,1342,7,1,178.0
7,2007,1314,6,1,207.5
7,2000,2256,8,1,236.0
8,2002,2004,8,1,257.5
6,2000,2054,7,1,244.0
7,2004,1374,7,0,167.0
6,2000,1800,7,1,179.0
6,2000,1514,7,1,190.0
7,1999,1430,7,1,156.0
7,1999,2312,8,1,245.0
6,1999,1675,7,1,181.0
7,1999,2060,8,1,214.0
7,1999,1430,7,1,168.0
8,1999,2365,8,1,337.0
8,1995,2794,9,1,403.0
8,2000,2687,10,2,327.0
8,1998,2450,7,1,340.0
8,1998,2612,8,1,336.0
7,1996,2344,7,1,265.0
8,1994,2063,7,2,315.0
7,1993,2646,9,1,260.0
7,1995,2061,7,1,260.0
8,1993,2232,8,1,263.55
8,1994,2448,8,1,402.0
7,1994,1850,7,1,248.0
8,2008,1468,6,1,244.6
8,2008,1696,7,0,275.0
8,2008,1658,7,1,257.5
8,2008,1578,7,1,287.09
8,2007,1702,7,1,275.5
8,2006,1432,7,1,245.0
7,2005,1971,8,1,253.0
9,2005,2490,9,2,468.0
7,2009,1852,7,1,252.678
8,2008,1590,6,0,210.0
6,2009,1218,4,0,208.3
7,2008,1436,6,0,225.0
8,2009,1314,6,0,229.456
7,2008,1402,7,0,229.8
9,2007,1530,7,1,250.0
9,2009,1766,7,1,370.878
8,2006,1448,6,1,238.5
10,2008,2007,10,1,310.0
8,2006,1795,8,1,270.0
8,2005,1953,9,1,252.0
7,2006,1550,7,0,241.0
8,2008,1836,8,1,264.5
7,2006,1662,8,1,291.0
7,2003,2094,8,1,263.0
7,2004,1221,6,0,185.0
7,2003,1553,6,0,234.5
7,2003,1653,6,0,209.0
7,2007,1218,6,0,159.0
7,2006,1141,6,0,152.0
6,2004,1158,5,0,143.5
7,2004,1812,8,0,193.0
8,2004,1512,6,0,203.0
7,2003,1200,5,0,184.9
7,2004,1114,6,0,159.0
5,2004,1114,6,0,142.0
5,2003,1114,6,0,153.0
7,2008,1450,6,0,224.243
7,1996,2122,8,1,220.0
8,2005,1844,7,1,257.0
7,2001,1434,6,1,189.0
6,1992,1730,6,0,171.5
6,1980,1217,6,1,120.0
6,1990,1332,5,0,145.0
7,1994,1540,6,0,184.0
6,1986,1400,6,0,162.0
6,1981,1882,8,2,160.0
4,1950,841,4,0,82.0
6,1928,784,5,0,76.0
5,1962,980,5,0,110.0
5,1977,980,6,0,135.0
5,1961,864,5,0,141.0
5,1961,864,5,0,122.0
5,1965,1020,5,0,124.1
5,1963,912,6,0,129.0
5,1961,1144,6,1,131.4
5,1965,864,5,1,62.383
5,1962,912,6,0,123.0
8,1980,2014,6,2,275.0
7,1991,1755,7,1,235.0
7,2004,3005,9,1,280.75
6,2009,1224,4,0,164.5
6,2009,1224,4,0,173.733
6,2008,1726,6,1,222.0
6,2008,1256,5,1,195.0
6,1999,1471,6,0,172.5
6,2000,1512,4,0,180.0
7,1999,1452,6,0,156.0
8,1999,1739,7,0,172.5
8,1977,1694,5,1,318.75
8,1981,1226,4,2,211.5
7,1981,1740,7,0,241.6
8,1976,2499,5,1,180.5
4,1976,1620,8,1,150.0
6,1968,1556,8,0,154.0
6,1970,1442,6,1,185.0
6,1968,1489,7,1,185.75
7,1973,2090,7,2,200.0
7,1974,2067,7,2,206.0
6,1972,1395,6,1,162.0
6,1967,2640,8,1,256.9
6,1967,1724,7,1,197.9
5,1969,1336,6,1,163.0
6,1969,1216,5,0,113.0
7,1977,2288,8,2,230.0
6,1977,1334,6,1,167.9
7,1998,1680,7,1,213.25
8,2001,1665,6,0,227.0
5,1967,864,5,0,130.0
5,1967,1568,7,0,143.0
5,1965,925,5,0,117.5
7,1974,2061,8,1,168.5
6,1971,1320,5,1,172.5
6,1967,1342,7,1,161.5
4,1960,894,5,1,141.5
5,1959,864,5,0,118.0
6,1959,864,5,0,127.5
4,1957,1362,6,1,140.0
5,1956,1728,7,1,177.625
5,1958,1776,9,0,110.0
6,1964,1516,6,0,167.0
5,1961,1313,6,1,153.0
5,1964,1292,6,2,145.1
5,1966,1154,6,1,154.0
5,1965,2140,7,1,177.5
6,1964,1445,7,1,158.0
5,1959,1041,6,0,124.5
6,1961,1576,7,1,174.5
5,1955,960,5,0,122.0
4,1940,708,5,0,82.5
5,1950,1203,5,1,110.0
6,1953,1505,6,1,149.5
6,1967,1691,5,0,175.0
6,1953,1644,7,2,167.0
5,1956,1050,5,0,128.9
6,1950,1668,6,0,140.0
5,1950,1113,5,1,147.0
5,1967,1584,8,0,124.0
6,1961,1453,6,1,187.5
6,1963,1394,6,2,159.0
6,1966,1567,5,2,256.0
7,1965,1986,7,3,205.0
6,1968,2142,8,1,193.5
6,1968,1392,5,2,110.0
4,1920,1738,7,1,104.9
5,1956,1144,6,0,150.0
6,1957,1478,6,2,156.5
7,1960,1329,5,2,176.0
6,1959,988,6,0,149.5
6,1958,1632,6,1,139.0
6,1958,1215,6,0,155.0
5,1956,1202,6,0,120.0
5,1955,1382,6,0,153.0
4,1956,1200,6,2,144.0
6,1962,1382,6,1,176.0
5,1954,1297,5,1,153.0
5,1958,1866,8,0,135.0
6,1954,1062,6,0,131.0
5,1953,1319,5,0,123.0
5,1951,1112,5,0,126.0
4,1955,1005,5,1,115.0
5,1951,1363,6,2,164.9
5,1945,793,4,0,113.0
5,1952,1031,5,0,145.5
5,1953,1210,7,0,102.9
3,1900,1699,7,0,95.0
7,1948,1527,6,1,152.5
5,1950,1200,6,0,129.9
6,1948,972,5,1,132.0
3,1958,792,4,0,99.9
5,1916,1656,8,0,135.0
5,1939,1352,7,0,149.0
4,1900,1039,6,0,114.0
5,1924,792,5,0,109.5
5,1925,1078,6,0,125.0
4,1915,2377,8,1,142.9
7,1910,1690,5,0,156.5
2,1940,599,4,0,59.0
4,1920,1374,6,0,105.0
5,1920,846,4,0,106.0
3,1890,725,4,0,78.5
6,1969,2544,12,0,190.0
6,1963,1380,6,0,154.0
6,1967,1040,6,1,163.0
5,1969,2634,12,0,200.0
6,1958,951,6,0,143.5
6,1957,1105,5,0,135.0
5,1957,1306,5,0,153.0
6,1960,1478,6,2,157.5
6,1958,1142,5,1,113.5
5,1949,1268,6,1,133.0
3,1950,1040,6,0,92.9
6,1950,1133,5,0,128.5
4,1949,1040,6,0,90.0
5,1950,1904,7,0,138.0
5,1958,1041,6,0,128.0
5,1958,1339,6,0,139.0
5,1952,732,4,0,118.9
5,1959,1183,6,0,138.0
5,1959,1148,6,0,132.5
4,1949,1461,6,0,133.5
6,1948,1495,6,0,135.0
6,1964,1806,8,0,144.75
5,1978,941,4,0,145.0
6,1963,1045,6,1,127.0
5,1962,894,5,0,109.5
6,1926,1224,5,0,115.0
5,1910,1230,5,0,110.0
6,1935,1378,6,0,128.9
6,1910,1944,12,0,103.5
5,1941,1131,5,0,66.5
5,1910,1306,6,0,130.0
5,1910,1464,7,0,129.0
5,1939,1558,7,1,150.0
5,1892,2372,11,0,107.5
4,1920,1701,8,0,94.55
5,1952,1960,10,0,124.5
7,1946,1389,6,2,135.0
5,1910,1447,6,0,103.0
4,1953,936,4,0,93.0
5,1950,1328,6,0,129.5
5,1954,1387,7,0,93.0
4,1920,861,5,0,80.0
2,1940,612,4,0,45.0
3,1910,968,6,0,37.9
5,1938,886,4,0,91.3
5,1923,792,5,0,99.5
4,1920,1452,8,0,113.0
4,1910,1510,7,0,87.5
5,1947,1284,5,0,110.0
5,1898,2138,11,0,106.0
7,1880,2640,8,1,265.979
6,1900,2007,8,0,160.0
6,1917,1288,5,1,119.0
8,1882,1742,8,1,168.0
4,1910,816,5,1,58.5
7,1920,1482,7,0,143.0
5,1910,1022,4,0,85.0
5,1890,1869,7,0,124.9
6,1920,1480,6,0,119.0
6,1910,1521,8,0,146.5
4,1920,720,4,0,34.9
3,1900,797,5,0,44.0
5,1923,1576,6,1,223.5
6,1923,1432,6,1,149.0
7,1925,1548,5,0,205.0
5,1930,1654,7,1,137.0
6,1916,952,4,1,121.0
4,1936,1324,6,0,128.0
6,1937,1176,4,0,134.9
5,1925,1348,5,1,117.0
6,1939,1412,6,1,132.5
5,1924,1142,6,0,93.0
6,1926,904,4,0,119.0
5,1924,1301,5,0,100.0
5,1936,1539,5,0,141.5
4,1935,1573,6,0,133.0
2,1936,800,4,1,60.0
5,1931,875,5,0,105.0
5,1925,995,5,0,115.0
5,1938,1582,6,1,150.0
5,1925,1072,5,0,126.5
6,1916,2134,10,0,214.5
7,1910,2019,8,0,167.5
6,1915,1768,8,0,155.0
7,1915,1826,7,1,155.0
7,1915,1944,8,0,179.9
6,1912,2229,8,0,104.0
5,1922,2128,11,0,62.5
6,1927,1930,8,0,149.0
4,1925,1208,5,0,103.0
6,1915,1427,7,0,123.0
7,1902,1864,9,0,97.5
6,1927,1666,4,0,135.0
4,1923,892,5,0,70.0
6,1915,1403,7,0,116.0
4,1946,704,4,0,88.75
5,1987,1200,5,0,179.0
5,1987,1200,5,0,179.0
5,1978,1152,6,0,159.9
1,1922,904,4,0,61.0
6,1925,1369,6,0,103.6
5,1934,1112,6,0,63.0
5,1963,1464,6,1,175.0
5,1963,1121,5,0,139.0
6,1978,1683,7,1,172.5
5,1967,1052,6,1,113.5
5,1967,899,5,0,130.0
6,1978,1034,5,1,149.9
5,1982,858,5,0,134.9
5,1982,860,4,0,137.0
5,1962,1092,6,1,139.0
5,1961,1774,8,1,165.0
6,1960,1138,6,1,148.0
5,1956,2071,9,1,165.0
2,1947,660,5,0,63.9
4,1957,1788,8,2,161.5
5,1968,1473,5,2,143.0
4,1956,1229,6,0,135.0
4,1940,861,4,0,82.5
5,1955,1867,7,3,190.0
3,1955,1733,8,1,139.6
4,1954,1383,6,0,122.0
6,1956,1689,7,1,127.5
5,1956,1073,5,0,121.5
5,1958,1276,5,0,60.0
6,1946,1639,6,1,154.4
4,1941,672,4,0,113.0
5,1954,1089,5,1,125.0
4,1957,845,5,0,84.0
5,1984,1049,5,0,139.5
5,1949,1716,8,1,131.0
6,1939,1258,6,0,105.0
4,1940,1510,7,1,108.0
7,1990,1061,4,0,162.0
6,1983,1338,5,1,156.5
8,1983,2132,5,1,316.6
7,1990,2196,7,1,271.9
7,1993,1775,7,1,213.0
7,1993,1879,8,1,239.9
8,1995,2020,8,1,239.5
5,1880,2016,7,1,131.0
5,1979,1535,8,0,118.964
5,1979,1224,6,2,153.337
5,1979,2228,8,0,147.983
5,1979,1535,8,0,118.858
5,1979,1535,8,0,118.858
5,1979,2240,12,0,142.953
5,1979,1229,6,2,148.325
5,1979,1513,8,0,113.722
7,2000,2787,8,2,269.5
7,2000,2787,8,2,269.5
7,2000,2787,8,2,269.5
9,2009,1680,8,1,323.262
8,2007,1718,7,1,297.0
8,2008,1630,8,1,295.493
9,2008,1720,8,1,332.0
8,2008,1468,6,1,239.9
8,2007,1768,7,0,212.0
8,2007,1838,7,2,272.5
9,2007,1800,7,0,239.0
7,2006,1604,8,1,220.0
7,2007,1290,6,1,200.0
8,2008,1254,5,0,221.8
7,2007,1232,6,0,194.5
8,2005,1498,7,1,237.0
6,2005,1422,7,1,173.0
7,1989,1644,5,1,275.0
7,1992,1759,7,1,233.5
5,1967,2126,7,0,185.0
5,1996,1040,6,0,152.0
5,1994,990,5,0,143.0
6,1997,1764,7,0,231.5
7,1996,1661,6,1,212.0
7,1998,1463,5,0,207.0
5,1994,1097,6,0,145.0
5,1994,990,5,0,138.0
7,1998,1779,6,0,197.9
7,1999,1501,6,0,204.0
7,1999,1431,6,0,192.0
6,1998,1772,7,1,200.0
7,2002,1660,7,0,195.0
7,2002,1573,6,0,227.0
7,2001,1840,6,0,230.0
7,2001,1430,6,0,187.1
7,2002,1444,6,0,203.0
7,2001,1492,6,1,201.0
5,1978,1040,5,0,124.0
5,1978,907,5,0,140.0
5,1979,914,5,0,134.9
5,1977,1040,5,0,150.5
5,1978,864,6,0,136.5
5,1977,1268,5,0,143.5
5,1972,864,5,1,133.5
5,1972,894,6,0,123.0
5,1972,768,5,0,133.9
5,1972,768,5,0,133.0
7,2002,1611,6,0,250.0
8,2003,2184,8,1,254.75
8,2001,1788,7,1,236.5
8,2001,1872,7,1,261.5
9,2000,2153,8,2,313.0
7,2002,1725,6,0,198.5
7,2001,1870,6,0,211.0
8,1999,1513,5,1,220.0
7,1996,1504,6,1,203.0
8,2002,1828,7,1,279.5
7,1997,1417,7,1,210.0
7,1997,2034,8,0,219.5
7,1996,1716,7,1,191.0
7,2001,1212,6,0,178.0
7,2000,1630,6,1,213.0
6,2003,848,4,0,144.0
6,2003,848,4,0,140.0
8,2007,1602,7,1,293.2
