cin,x,z
262351,0,0
398428,0,0
292802,0,0
344329,0,0
354153,0,0
254749,0,0
492645,0,0
431843,0,0
389127,0,0
263118,0,0
387537,0,0
228300,0,0
128515,0,0
438743,0,0
261224,0,0
338364,0,0
133146,0,0
219834,0,0
465448,0,0
233754,0,0
369515,0,0
370609,0,0
145627,0,0
309049,0,0
123088,0,0
418923,0,0
376054,0,0
421095,0,0
154906,0,0
249380,0,0
497293,0,0
456833,0,0
411307,0,0
432660,0,0
315612,0,0
467217,0,0
273597,0,0
400343,0,0
351124,0,0
224559,0,0
345822,0,0
317676,0,0
184539,0,0
258664,0,0
286126,0,0
307505,0,0
207176,0,0
340796,0,0
270465,0,0
250805,0,0
457853,0,0
315845,0,0
462843,0,0
412960,0,0
387208,0,0
459828,0,0
420604,0,0
445220,0,0
381101,0,0
120579,0,0
235219,0,0
185728,0,0
153026,0,0
423223,0,0
312266,0,0
178565,0,0
402119,0,0
412378,0,0
140297,0,0
460638,0,0
401926,0,0
440862,0,0
269749,0,0
152574,0,0
102438,0,0
277009,0,0
458837,0,0
399786,0,0
483989,0,0
494409,0,0
370329,0,0
267183,0,0
151182,0,0
280294,0,0
310037,0,0
469904,0,0
355776,0,0
277174,0,0
352453,0,0
303472,0,0
122907,0,0
239129,0,0
409588,1,1
363097,0,0
399194,0,0
287907,0,0
253705,0,0
134402,0,0
137439,0,0
490180,0,0
222415,0,0
161559,0,0
465214,0,0
131514,0,0
254720,0,0
465066,0,0
189296,0,0
308433,1,0
221806,0,0
246002,0,0
167523,0,0
249098,0,0
488524,0,0
363280,0,0
171127,0,0
227183,0,0
189592,0,0
262812,0,0
138795,0,0
210019,0,0
486171,0,0
175349,0,0
361042,0,0
130211,0,0
150849,0,0
162855,0,0
368070,0,0
144250,0,0
204687,0,0
417462,0,0
109928,0,0
218325,0,0
458697,0,0
204550,0,0
400790,0,0
438374,0,0
284363,0,0
412188,0,0
139043,0,0
121901,0,0
159775,0,0
284422,0,0
365610,0,0
290956,0,0
351405,0,0
365020,0,0
301230,0,0
177360,0,0
435544,0,0
378886,0,0
122797,0,0
196200,0,0
299295,1,1
232808,0,0
406756,0,0
366795,0,0
362172,0,0
378104,0,0
366028,0,0
199333,0,0
368617,0,0
351139,0,0
210140,0,0
232985,0,0
384266,0,0
433907,0,0
305169,0,0
222590,0,0
210724,0,0
431826,0,0
465247,0,0
225987,0,0
241073,0,0
370273,0,0
488786,1,1
464584,0,0
339310,0,0
278903,0,0
270212,0,0
384934,0,0
424671,0,0
151599,0,0
354946,0,0
169908,0,0
470742,0,0
459399,0,0
264317,0,0
254611,0,0
120659,0,0
248904,0,0
422635,0,0
431211,0,0
276953,0,0
486151,0,0
191892,0,0
399099,0,0
199536,0,0
326507,0,0
322075,0,0
497134,0,0
492074,1,0
405939,0,0
376265,0,0
368666,0,0
499433,0,0
323862,0,0
193777,0,0
299877,0,0
166767,0,0
107380,0,0
288856,0,0
337697,0,0
392563,0,0
355770,0,0
454820,0,0
456263,0,0
469431,0,0
131703,0,0
449217,0,0
284641,0,0
168354,0,0
338555,0,0
434660,0,0
125520,0,0
317030,0,0
122735,0,0
138302,1,0
478532,0,0
275854,0,0
223334,0,0
448614,0,0
301315,0,0
459615,0,0
447334,0,0
282754,0,0
409685,0,0
412669,0,0
350951,0,0
474076,0,0
275645,0,0
193748,0,0
484552,0,0
258030,0,0
306518,0,0
448444,0,0
417243,0,0
252879,0,0
463448,0,0
121591,0,0
461707,0,0
343424,0,0
389803,0,0
310616,0,0
499278,1,0
443623,0,0
334224,0,0
206506,0,0
237258,0,0
417017,0,0
455039,0,0
354731,0,0
339659,0,0
124702,0,0
444779,0,0
410257,0,0
407851,0,0
490987,0,0
163695,0,0
262717,0,0
144249,0,0
322720,0,0
302093,0,0
123655,0,0
279881,0,0
194033,0,0
476635,0,0
257549,0,0
449616,0,0
415825,0,0
127821,0,0
455673,0,0
397524,0,0
195108,0,0
182528,0,0
298368,0,0
474833,0,0
161525,0,0
101346,0,0
455523,0,0
461627,0,0
435243,1,1
283173,0,0
412775,0,0
264419,0,0
417694,0,0
431010,0,0
319223,0,0
275498,0,0
237340,0,0
226178,0,0
132510,0,0
320815,0,0
448746,0,0
104360,0,0
344745,0,0
237752,0,0
187485,0,0
258398,0,0
141963,0,0
249458,0,0
328271,0,0
459215,0,0
428968,0,0
374650,0,0
493721,0,0
252962,0,0
374205,0,0
455109,0,0
337209,0,0
499348,0,0
483525,0,0
461020,0,0
459597,0,0
346486,0,0
225010,0,0
412072,0,0
206607,0,0
122691,0,0
404645,0,0
457140,0,0
426005,0,0
291099,0,0
396915,0,0
354496,0,0
372791,0,0
215037,0,0
146835,0,0
114138,0,0
288858,0,0
210980,0,0
156107,0,0
148223,0,0
118166,0,0
495085,0,0
402174,0,0
262673,0,0
255941,0,0
239566,0,0
441592,0,0
385507,0,0
179485,0,0
168967,0,0
238702,0,0
392002,0,0
215272,0,0
117492,0,0
233635,0,0
460836,0,0
447384,0,0
331845,0,0
446584,0,0
261277,0,0
416394,0,0
373557,0,0
118277,0,0
400984,0,0
168329,0,0
291674,0,0
421127,0,0
154316,0,0
373972,0,0
289110,0,0
132801,0,0
448830,0,0
486123,1,1
156922,0,0
280158,0,0
288808,0,0
184831,0,0
405474,0,0
203303,0,0
354226,0,0
360773,0,0
243599,0,0
406439,0,0
445454,0,0
355134,0,0
139489,0,0
185193,0,0
209949,0,0
385026,0,0
324453,0,0
146168,0,0
187509,0,0
114912,0,0
482302,0,0
232820,0,0
209934,0,0
369414,0,0
417496,0,0
445727,0,0
225460,0,0
464964,0,0
108194,0,0
197071,0,0
473625,0,0
497833,1,1
358718,0,0
434235,0,0
395231,0,0
353629,0,0
199725,0,0
370201,0,0
251628,0,0
364604,0,0
453002,0,0
257455,0,0
297824,0,0
187536,0,0
105923,0,0
474352,0,0
209518,0,0
297381,0,0
264107,1,0
432436,0,0
312353,0,0
459369,0,0
282824,0,0
422359,0,0
325803,0,0
102716,0,0
295719,0,0
471235,0,0
221503,0,0
349108,0,0
299191,1,1
474127,0,0
430766,0,0
399192,0,0
379855,0,0
273921,0,0
446133,0,0
276000,0,0
473579,0,0
386574,0,0
341835,0,0
180077,0,0
108987,0,0
300630,0,0
277752,0,0
395491,0,0
331756,0,0
490603,0,0
142266,0,0
171003,0,0
153598,0,0
302024,0,0
244965,0,0
127823,0,0
416278,0,0
103014,0,0
395441,0,0
426949,0,0
144567,0,0
280245,0,0
270987,0,0
175834,0,0
113664,0,0
161612,0,0
306021,0,0
365979,0,0
106513,0,0
318802,0,0
180856,0,0
262004,0,0
292896,0,0
287739,0,0
411435,0,0
196465,0,0
297200,0,0
434509,0,0
313970,0,0
481245,0,0
486645,0,0
460627,0,0
318751,0,0
420837,0,0
390671,0,0
138779,0,0
261361,0,0
439342,0,0
324593,0,0
391382,0,0
413001,0,0
333818,0,0
473317,0,0
442718,0,0
110513,0,0
309514,0,0
338391,0,0
428095,0,0
272147,0,0
113912,1,1
291771,0,0
493365,0,0
438251,0,0
406817,0,0
140117,0,0
236716,0,0
451952,0,0
231775,0,0
143121,0,0
177769,0,0
110162,0,0
247225,0,0
145337,0,0
447151,0,0
138210,0,0
301736,0,0
268263,0,0
330147,0,0
284842,0,0
236432,1,0
388605,0,0
329699,0,0
351145,0,0
288350,0,0
229980,0,0
367796,0,0
116937,0,0
289161,0,0
272926,0,0
139531,0,0
204202,0,0
336929,0,0
312778,0,0
387949,0,0
142445,0,0
240030,0,0
345377,0,0
361730,1,0
378460,0,0
146952,0,0
201088,0,0
125647,0,0
481200,0,0
287157,0,0
187210,0,0
298771,0,0
260540,0,0
119794,0,0
371245,0,0
480797,0,0
176617,0,0
264897,0,0
380511,0,0
231432,0,0
415171,0,0
242131,0,0
483590,0,0
391643,0,0
353887,0,0
251432,0,0
129822,0,0
128401,0,0
323490,0,0
104788,0,0
444250,0,0
477194,0,0
197946,0,0
392395,0,0
357257,0,0
395956,0,0
484619,0,0
102867,0,0
477188,0,0
131778,0,0
411976,0,0
187015,0,0
162850,0,0
278349,0,0
382713,0,0
348287,0,0
363403,0,0
271115,0,0
213678,0,0
148896,0,0
230527,0,0
223009,0,0
457069,0,0
111028,0,0
137220,0,0
231264,0,0
331586,0,0
453882,0,0
280331,1,1
270272,0,0
391582,0,0
180885,0,0
291849,0,0
149663,0,0
241600,0,0
300787,0,0
340127,0,0
351634,0,0
193319,0,0
403892,0,0
283283,0,0
164799,0,0
220646,0,0
181408,0,0
191786,0,0
399689,0,0
114778,0,0
113516,0,0
261996,0,0
431492,0,0
199331,0,0
241786,0,0
326816,0,0
251657,0,0
299685,0,0
390934,0,0
280919,0,0
265707,0,0
182744,0,0
126633,0,0
156089,0,0
259822,0,0
128206,0,0
354626,0,0
282094,0,0
187642,0,0
396821,0,0
323747,0,0
299145,0,0
183444,0,0
217013,0,0
407241,0,0
389239,0,0
174120,0,0
337889,0,0
460971,0,0
243941,0,0
187194,0,0
315820,0,0
311493,0,0
417931,0,0
345994,0,0
294516,0,0
421432,0,0
444652,0,0
228075,0,0
180026,0,0
299576,0,0
431914,0,0
375458,0,0
349567,0,0
252385,0,0
346042,0,0
494705,0,0
424340,0,0
445783,0,0
342476,0,0
140755,0,0
168217,0,0
333366,0,0
126192,0,0
347974,0,0
115878,0,0
405558,0,0
273798,0,0
142784,0,0
251404,0,0
239736,0,0
486599,0,0
498636,0,0
406276,0,0
408169,0,0
158178,0,0
439162,0,0
229777,0,0
499494,0,0
220513,1,0
247325,1,0
315614,0,0
466623,0,0
170303,0,0
218589,0,0
179770,0,0
276980,0,0
154264,0,0
412051,0,0
455045,0,0
263026,0,0
223102,0,0
295481,0,0
392896,0,0
262145,0,0
155978,0,0
271656,0,0
159163,0,0
183158,0,0
216619,0,0
137134,0,0
135279,0,0
217807,0,0
102471,0,0
415682,0,0
438639,0,0
303175,0,0
162236,0,0
322895,0,0
107899,0,0
358048,0,0
295374,0,0
389682,0,0
109111,0,0
244673,0,0
482376,0,0
160958,0,0
436544,0,0
318878,0,0
149903,0,0
321907,0,0
467009,0,0
387147,0,0
143824,0,0
320653,0,0
297161,0,0
427406,0,0
436306,0,0
123186,0,0
461923,0,0
111602,0,0
338384,0,0
371042,1,0
345849,0,0
369107,0,0
141087,0,0
282774,0,0
104030,0,0
161983,0,0
105615,0,0
124059,0,0
292948,0,0
491177,0,0
162102,0,0
383195,0,0
177764,0,0
369403,0,0
227427,0,0
180819,0,0
105322,0,0
234161,0,0
374969,0,0
496520,0,0
191240,0,0
182275,0,0
206743,0,0
250568,0,0
171938,0,0
314352,0,0
454785,1,1
210036,0,0
129385,0,0
198093,0,0
283831,0,0
189725,1,1
150595,0,0
455014,0,0
184386,0,0
314699,0,0
210829,0,0
208386,0,0
311089,0,0
401296,0,0
157313,0,0
269151,0,0
254684,0,0
394722,0,0
339720,0,0
332318,0,0
156304,0,0
498571,0,0
142730,0,0
475217,0,0
396808,0,0
447197,0,0
185247,0,0
307456,0,0
230831,0,0
385255,0,0
214718,0,0
325256,0,0
358214,0,0
257435,0,0
396511,0,0
173860,0,0
308112,0,0
434868,0,0
219237,0,0
393136,0,0
239047,0,0
450716,0,0
181951,0,0
357429,0,0
339561,0,0
307949,0,0
375389,0,0
188743,0,0
252144,0,0
212190,0,0
120466,0,0
310909,0,0
287537,0,0
339493,0,0
201882,0,0
131339,0,0
467366,0,0
249803,0,0
362388,0,0
285385,0,0
335717,0,0
111919,0,0
136599,0,0
183760,0,0
161314,0,0
166766,0,0
252922,0,0
148792,0,0
176926,0,0
370796,0,0
319711,0,0
279657,0,0
271619,0,0
220581,0,0
143215,0,0
308222,0,0
152694,0,0
357788,0,0
196074,0,0
280630,0,0
265747,0,0
484440,0,0
210196,0,0
310152,0,0
222505,0,0
339717,0,0
395492,0,0
157347,0,0
146148,0,0
305990,0,0
482272,0,1
348652,0,0
423759,0,0
232507,0,0
161171,0,0
131488,0,0
392598,0,0
216155,0,0
364343,0,0
366734,0,0
320657,0,0
420801,0,0
341753,0,0
436370,0,0
350452,0,0
417183,0,0
131970,0,0
476744,0,0
454047,0,0
427697,0,0
369089,0,0
402394,0,0
451347,0,0
451406,0,0
456906,0,0
363493,0,0
214629,1,1
242407,0,0
213030,0,0
404227,0,0
180809,0,0
122374,0,0
167212,0,0
450989,0,0
481091,0,0
255000,0,0
365849,0,0
156804,0,0
412515,0,0
339547,0,0
266213,0,0
154840,0,0
278727,0,0
313716,0,0
195980,0,0
172409,0,0
232147,0,0
254677,0,0
274569,0,0
219268,0,0
116826,0,0
227448,0,0
434768,0,0
248785,0,0
238601,0,0
154349,0,0
133596,0,0
425557,0,0
446254,0,0
400269,0,0
236467,1,0
332899,0,0
215625,0,0
376653,0,0
268618,0,0
275735,0,0
155140,0,0
492867,0,0
139322,0,0
336519,0,0
149021,0,0
243874,0,0
393509,0,0
438074,0,0
163251,0,0
349974,0,0
361115,0,0
385799,0,0
235116,0,0
477781,0,0
336708,0,0
395134,0,0
387167,0,0
405662,0,0
265414,0,0
216753,0,0
347981,0,0
403067,0,0
454865,0,0
216060,0,0
144659,0,0
342758,0,0
421926,0,0
287955,0,0
386200,0,0
329511,0,0
148858,0,0
304630,0,0
479355,0,0
339466,0,0
469463,0,0
473373,0,0
305742,0,0
269687,0,0
268120,0,0
237129,0,0
291814,0,0
405516,0,0
409622,0,0
280153,0,0
228177,0,0
445899,0,0
105530,0,0
270591,0,0
356498,0,0
260107,0,0
330199,0,0
400895,0,0
485705,0,0
270440,0,0
433134,0,0
244844,0,0
455760,0,0
150489,0,0
134326,0,0
172072,0,0
192114,0,0
451975,0,0
440766,0,0
435073,0,0
183541,0,0
194064,0,0
416256,0,0
199683,0,0
294285,0,0
178233,0,0
180880,0,0
338728,0,0
217601,0,0
466267,0,0
311863,0,0
204148,0,0
357089,0,0
101296,0,0
204311,0,0
328503,0,0
228311,0,0
131959,0,0
417282,0,0
478998,0,0
226124,0,0
434823,0,0
250192,0,0
350320,0,0
277584,0,0
370987,0,0
245632,0,0
411397,0,0
314248,0,0
312909,0,0
263042,0,0
408483,0,0
410322,0,0
456298,0,0
268879,0,0
491272,0,0
416479,0,0
249949,0,0
108273,0,0
135771,0,0
141150,0,0
419952,0,0
246683,0,0
179078,0,0
156673,0,0
307591,0,0
177728,0,0
485576,0,0
118187,0,0
442244,0,0
144991,0,0
316554,0,0
199497,0,0
191463,0,0
123392,0,0
265231,0,0
115457,0,0
463829,0,0
315881,0,0
251968,0,0
491197,0,0
216579,0,0
180113,0,0
185378,0,0
499964,0,0
482327,0,0
338068,0,0
180282,0,0
133674,0,0
330803,0,0
303623,0,0
336604,0,0
284922,0,0
163335,0,0
178278,0,0
136287,0,0
437866,0,0
390728,0,0
402525,0,0
310260,0,0
198326,0,0
476073,0,0
216011,0,0
482995,0,0
462923,0,0
191797,0,0
335702,0,0
209286,0,0
309186,0,0
488974,0,0
418015,0,0
385488,0,0
249724,0,0
297509,0,0
123019,0,0
315429,0,0
320019,0,0
119852,0,0
381318,0,0
389774,0,0
410203,0,0
445721,0,0
236396,0,0
282276,0,0
441027,0,0
301787,0,0
302416,0,0
293122,0,0
443192,0,0
193577,0,0
168271,0,0
149433,0,0
414246,0,0
495392,0,0
202860,0,0
282981,0,0
188074,0,0
422396,0,0
418543,0,0
155818,0,0
414250,0,0
393891,0,0
402285,0,0
217722,0,0
443196,0,0
485079,0,0
136916,0,0
125243,0,0
139506,0,0
154119,0,0
488481,0,0
242949,0,0
497517,0,0
386547,0,0
453178,0,0
492448,0,0
250800,0,0
110607,0,0
470817,0,0
355593,0,0
122117,0,0
319564,0,0
464406,0,0
490373,0,0
284295,0,0
374248,0,0
333169,0,0
264559,0,0
319310,0,0
390514,0,0
181845,0,0
139860,0,0
215040,0,0
300820,0,0
374088,0,0
469556,0,0
341500,0,0
486772,0,0
176450,0,0
382970,0,0
114111,0,0
440785,0,0
329044,0,0
226396,0,0
276356,0,0
195633,0,0
312217,0,0
411633,0,0
327526,0,0
223364,0,0
300211,0,0
296946,0,0
183478,0,0
198784,0,0
346148,0,0
145810,0,0
335566,0,0
221733,0,0
271948,0,0
229821,0,0
282412,0,0
119390,0,0
170407,0,0
460512,0,0
301062,1,0
434590,0,0
205957,0,0
108769,0,0
397058,0,0
342982,0,0
371173,0,0
477888,0,0
468338,0,0
331819,0,0
469468,0,0
428447,0,0
233329,0,0
413076,0,0
360430,0,0
465580,0,0
199656,0,0
357323,0,0
120302,0,0
173378,0,0
375989,0,0
409113,0,0
415012,0,0
150466,0,0
104681,0,0
143351,0,0
117626,0,0
188867,0,0
279721,0,0
154579,0,0
143974,0,0
275900,0,0
233052,0,0
196494,0,0
115078,0,0
352524,0,0
268989,0,0
407027,0,0
145151,0,0
419622,0,0
388798,0,0
469380,0,0
250975,0,0
172767,0,0
217088,0,0
287377,0,0
138403,0,0
404902,0,0
283772,0,0
141395,0,0
265767,0,0
348944,0,0
121429,0,0
153696,0,0
140416,0,0
294459,1,0
108515,0,0
266021,0,0
324932,0,0
100603,0,0
265155,0,0
402338,0,0
459493,0,0
341694,0,0
119790,0,0
316824,0,0
298461,1,1
165707,0,0
256424,0,0
193700,0,0
206343,0,0
482117,0,0
105071,0,0
109762,0,0
248502,0,0
279756,0,0
482716,0,0
345397,0,0
332035,0,0
145012,0,0
203323,0,0
279411,0,0
144533,0,0
252280,0,0
151494,0,0
225452,0,0
361642,0,0
245932,0,0
148551,0,0
462070,0,0
318118,0,0
180211,0,0
129448,0,0
363893,0,0
217319,0,0
341649,0,0
342747,0,0
204579,0,0
197520,0,0
117338,0,0
431275,0,0
375387,0,0
374061,0,0
492363,0,0
411939,0,0
113249,0,0
243353,0,0
194042,0,0
328034,0,0
304710,0,0
258306,0,0
478013,0,0
450140,0,0
168439,0,0
458144,0,0
407461,0,0
433155,0,0
188967,0,0
440731,0,0
279685,0,0
169471,0,0
485462,0,0
114209,0,0
465831,0,0
217432,0,0
118540,0,0
272912,0,0
328056,0,0
275642,0,0
469972,0,0
456670,0,0
324188,0,0
166525,0,0
285124,0,0
122385,0,0
421343,0,0
266062,0,0
498241,0,0
138551,0,0
496926,0,0
349212,0,0
263555,0,0
440716,0,0
377320,0,0
306172,0,0
181958,0,0
146735,0,0
135268,0,0
339768,0,0
482815,0,0
310137,0,0
221981,1,1
129826,0,0
428456,0,0
481604,0,0
109558,0,0
496964,0,0
379771,0,0
359686,0,0
298781,0,0
496140,0,0
238966,0,0
384730,0,0
108056,0,0
215034,0,0
320231,0,0
410973,0,0
362800,0,0
424919,0,0
419713,0,0
337841,0,0
258957,0,0
444943,0,0
318385,0,0
106430,0,0
323078,0,0
299429,0,0
284719,0,0
137951,0,0
388138,0,0
172969,0,0
381493,0,0
164236,0,0
414859,0,0
196705,0,0
105069,0,0
352302,0,0
288967,0,0
293579,0,0
377408,0,0
478762,0,0
142032,0,0
252347,0,0
256471,0,0
126936,0,0
270979,0,0
211858,0,0
395170,0,0
309418,0,0
181816,0,0
492294,1,0
421054,0,0
306304,0,0
431696,0,0
465981,0,0
495831,0,0
198908,0,0
416880,0,0
421458,0,0
141313,1,1
345511,0,0
147881,0,0
446141,0,0
349177,0,0
287938,0,0
432606,0,0
198455,0,0
319498,0,0
268227,0,0
397114,0,0
250494,0,0
335311,0,0
403545,0,0
353495,0,0
207586,0,0
138840,0,0
496773,0,0
107604,0,0
175165,0,0
300692,0,0
211071,0,0
389448,0,0
126531,0,0
392998,0,0
357890,0,0
365776,0,0
107169,0,0
342283,0,0
410627,0,0
388483,0,0
461031,0,0
434876,0,0
407295,0,0
331651,0,0
399583,0,0
337787,0,0
379690,0,0
145436,0,0
352569,0,0
473086,0,0
326969,0,0
354798,0,0
333788,0,0
308684,0,0
199570,0,0
108209,0,0
399048,0,0
383181,0,0
352627,0,0
139449,0,0
205323,0,0
226076,0,0
463571,0,0
333214,0,0
243968,0,0
246902,0,0
265785,0,0
316503,0,0
299721,1,0
151612,0,0
116326,0,0
194815,0,0
327798,0,0
407759,0,0
313085,0,0
385929,1,1
122604,0,0
459667,0,0
164046,0,0
304465,0,0
349682,0,0
398144,0,0
101858,0,0
400880,0,0
254264,0,0
340568,0,0
434539,0,0
225337,0,0
393784,0,0
183707,1,1
306612,0,0
346723,0,0
112575,0,0
160830,1,0
171460,0,0
323086,0,0
399858,0,0
103771,0,0
317315,0,0
172394,0,0
190600,0,0
373285,0,0
159185,0,0
382182,0,0
193620,0,0
140337,0,0
150109,0,0
214821,0,0
467950,0,0
430464,0,0
123016,0,0
343231,0,0
385061,0,0
463298,0,0
379512,0,0
392097,0,0
413102,1,0
277176,0,0
461576,0,0
299338,0,0
435712,0,0
414576,0,0
171035,0,0
229743,0,0
215653,0,0
168108,0,0
312573,0,0
477972,0,0
376974,0,0
273827,0,0
238938,0,0
365286,0,0
326458,0,0
118207,0,0
116073,0,0
317301,0,0
353093,0,0
479744,0,0
370205,0,0
490719,0,0
338546,0,0
325068,0,0
221358,0,0
306011,0,0
495965,0,0
313012,0,0
402696,0,0
290770,0,0
339702,0,0
160147,0,0
194313,0,0
155536,0,0
180781,0,0
281487,0,0
452569,0,0
380931,0,0
186499,1,0
318274,0,0
335440,0,0
443112,0,0
372475,0,0
479810,0,0
442805,0,0
360920,0,0
412020,0,0
469859,0,0
302310,0,0
174494,0,0
414218,0,0
321491,0,0
447842,0,0
174341,1,0
141979,0,0
266295,0,0
233408,0,0
140328,0,0
119605,0,0
474873,0,0
141108,0,0
193571,0,0
161682,0,0
132929,0,0
397995,0,0
285521,0,0
103729,0,0
173374,0,0
126548,0,0
131224,0,0
191273,0,0
103470,0,0
193022,0,0
381731,0,0
497174,0,0
387555,0,0
395559,0,0
313904,0,0
401933,0,0
161298,0,0
405737,0,0
208411,0,0
205274,0,0
265533,0,0
381484,0,0
362860,0,0
387382,0,0
160731,0,0
104413,0,0
119239,0,0
486361,0,0
484966,0,0
148772,0,0
499988,0,0
289583,0,0
102333,0,0
152672,0,0
429171,0,0
473874,0,0
138258,0,0
155319,0,0
404079,0,0
406943,0,0
355664,0,0
189758,0,0
439722,0,0
343409,0,0
435359,0,0
310902,0,0
204378,0,0
455570,0,0
237861,0,0
491895,0,0
192826,0,0
421842,0,0
350868,0,0
166913,0,0
462080,0,0
438000,0,0
422619,0,0
318195,0,0
458961,0,0
135744,0,0
324661,0,0
461429,0,0
257035,0,0
109814,0,0
288356,0,0
314675,0,0
102753,0,0
476102,0,0
296562,0,0
389359,0,0
111197,0,0
141920,0,0
444893,0,0
174574,0,0
185871,0,0
225439,0,0
320276,0,0
251831,0,0
170400,0,0
449782,0,0
441578,0,0
101580,0,0
248219,0,0
311489,0,0
419306,0,0
117620,0,0
229317,0,0
352141,0,0
375155,0,0
208087,0,0
173471,0,0
443801,0,0
456768,0,0
293236,0,0
383925,0,0
472309,0,0
264496,0,0
377775,0,0
429250,0,0
465529,0,0
444100,0,0
176464,0,0
304446,0,0
294424,0,0
191784,0,0
419504,0,0
133532,0,0
166791,0,0
219080,0,0
413340,0,0
408661,0,0
125713,0,0
422441,0,0
181115,0,0
342249,0,0
389057,0,0
130072,0,0
178391,0,0
368132,0,0
148107,0,0
446928,0,0
489043,0,0
425201,0,0
146663,0,0
116891,0,0
115622,1,1
331758,0,0
403808,0,0
362054,0,0
477927,0,0
451729,0,0
410216,0,0
118864,0,0
184300,0,0
381131,0,0
491650,0,0
316986,0,0
424205,0,0
353859,0,0
169579,0,0
361499,0,0
145291,0,0
148714,0,0
